entry_date,near_expiry,far_expiry,strike
2022-01-07,2022-01-13,2022-02-03,17800.0
2022-01-28,2022-02-03,2022-02-24,17200.0
2022-02-25,2022-03-03,2022-03-24,16500.0
2022-03-04,2022-03-10,2022-03-31,16350.0
2022-03-21,2022-03-24,2022-04-13,17300.0
2022-04-01,2022-04-07,2022-04-28,17450.0
2022-04-18,2022-04-21,2022-05-12,17200.0
2022-04-29,2022-05-05,2022-05-26,17350.0
2022-06-03,2022-06-09,2022-06-30,16750.0
2022-07-01,2022-07-07,2022-07-28,15700.0
2022-08-05,2022-08-11,2022-09-01,17400.0
2022-09-02,2022-09-08,2022-09-29,17600.0
2022-09-30,2022-10-06,2022-10-27,16800.0
2022-10-21,2022-10-27,2022-11-17,17600.0
2022-10-28,2022-11-03,2022-11-24,17750.0
2023-01-02,2023-01-05,2023-01-25,18150.0
2023-01-06,2023-01-12,2023-02-02,18000.0
2023-01-20,2023-01-25,2023-02-16,18100.0
2023-01-27,2023-02-02,2023-02-23,17900.0
2023-03-03,2023-03-09,2023-03-29,17450.0
2023-03-10,2023-03-16,2023-04-06,17450.0
2023-03-17,2023-03-23,2023-04-13,17100.0
2023-03-31,2023-04-06,2023-04-27,17200.0
2023-04-28,2023-05-04,2023-05-25,17950.0
2023-05-05,2023-05-11,2023-06-01,18100.0
2023-05-26,2023-06-01,2023-06-22,18350.0
2023-06-09,2023-06-15,2023-07-06,18650.0
2023-06-16,2023-06-22,2023-07-13,18700.0
2023-06-30,2023-07-06,2023-07-27,19100.0
2023-07-07,2023-07-13,2023-08-03,19400.0
2023-07-14,2023-07-20,2023-08-10,19500.0
2023-07-21,2023-07-27,2023-08-17,19800.0
2023-07-28,2023-08-03,2023-08-24,19650.0
2023-08-04,2023-08-10,2023-08-31,19450.0
2023-08-11,2023-08-17,2023-09-07,19550.0
2023-08-18,2023-08-24,2023-09-14,19300.0
2023-08-25,2023-08-31,2023-09-21,19300.0
2023-09-01,2023-09-07,2023-09-28,19250.0
2023-09-15,2023-09-21,2023-10-12,20150.0
2023-09-22,2023-09-28,2023-10-19,19750.0
2023-09-29,2023-10-05,2023-10-26,19600.0
2023-10-06,2023-10-12,2023-11-02,19600.0
2023-10-20,2023-10-26,2023-11-16,19550.0
2023-10-27,2023-11-02,2023-11-23,18950.0
2023-11-03,2023-11-09,2023-11-30,19250.0
2023-11-10,2023-11-16,2023-12-07,19350.0
2023-11-17,2023-11-23,2023-12-14,19650.0
2023-11-24,2023-11-30,2023-12-21,19800.0
2023-12-01,2023-12-07,2023-12-28,20200.0
2023-12-08,2023-12-14,2024-01-04,20950.0
2023-12-15,2023-12-21,2024-01-11,21300.0
2023-12-22,2023-12-28,2024-01-18,21300.0
2023-12-29,2024-01-04,2024-01-25,21750.0
2024-01-05,2024-01-11,2024-02-01,21700.0
2024-01-12,2024-01-18,2024-02-08,21750.0
2024-01-19,2024-01-25,2024-02-15,21600.0
2024-01-29,2024-02-01,2024-02-22,21450.0
2024-02-02,2024-02-08,2024-02-29,21800.0
2024-02-16,2024-02-22,2024-03-14,22000.0
2024-02-23,2024-02-29,2024-03-21,22300.0
2024-03-01,2024-03-07,2024-03-28,22050.0
2024-03-11,2024-03-14,2024-04-04,22500.0
2024-03-15,2024-03-21,2024-04-10,22100.0
2024-03-22,2024-03-28,2024-04-18,21950.0
2024-04-01,2024-04-04,2024-04-25,22450.0
2024-04-05,2024-04-10,2024-05-02,22500.0
2024-04-12,2024-04-18,2024-05-09,22700.0
2024-04-26,2024-05-02,2024-05-23,22600.0
2024-05-03,2024-05-09,2024-05-30,22750.0
2024-05-10,2024-05-16,2024-06-06,22000.0
2024-05-24,2024-05-30,2024-06-20,22900.0
2024-05-31,2024-06-06,2024-06-27,22550.0
2024-06-07,2024-06-13,2024-07-04,22800.0
2024-06-14,2024-06-20,2024-07-11,23450.0
2024-06-21,2024-06-27,2024-07-18,23650.0
2024-06-28,2024-07-04,2024-07-25,24100.0
2024-07-05,2024-07-11,2024-08-01,24200.0
2024-07-12,2024-07-18,2024-08-08,24400.0
2024-07-26,2024-08-01,2024-08-22,24400.0
2024-08-02,2024-08-08,2024-08-29,24800.0
2024-08-09,2024-08-14,2024-09-05,24400.0
2024-08-16,2024-08-22,2024-09-12,24350.0
