entry_date,near_expiry,far_expiry,strike,lot_near,lot_far,entry_near_pe,exit_near_pe,entry_near_ce,exit_near_ce,entry_far_ce,exit_far_ce,entry_far_pe,exit_far_pe,pnl_inr,comparison_status_x,near_pe_pnl,near_ce_pnl,far_ce_pnl,far_pe_pnl,entry_net_inr,entry_gross_inr,entry_debit_ratio,call_ratio,put_ratio,calendar_balance_ratio,call_calendar_points,put_calendar_points,calendar_asymmetry,loss_reason,far_legs_direction,primary_spot_open,primary_strike,secondary_strike,comparison_status_y,entry_abs_moneyness,year,candidate_gate,conservative_net20_2pt
2022-01-07,2022-01-13,2022-02-03,17800.0,50,50,151.0,0.15,144.25,454.0,417.3,577.0,329.95,128.6,-4977.5,RECOVERED_BY_SECONDARY_EXACT,-7542.5,-15487.5,7984.999999999999,10067.5,4705.0,52125.0,0.09026378896882493,2.8928942807625653,2.185099337748344,1.3239188858770947,273.05,178.95,0.20818584070750407,BOTH_NEAR_ADVERSE,FAR_NET_FAVORABLE,17802.7,17800.0,17800.0,RECOVERED_BY_SECONDARY_EXACT,0.00015166238828945763,2022,False,-6065.97734525
2022-01-28,2022-02-03,2022-02-24,17200.0,50,50,251.05,0.1,260.0,381.45,424.75,513.6,383.4,169.3,-3472.500000000002,PRIMARY_VALID_SECONDARY_COMPLETE,-12547.5,-6072.499999999999,4442.500000000001,10704.999999999998,1620.0,65960.0,0.024560339599757428,1.6336538461538461,1.527185819557857,1.069715174952851,164.75,132.34999999999997,0.10905419050787946,BOTH_NEAR_ADVERSE,FAR_NET_FAVORABLE,17237.4,17250.0,17200.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0007309687075776244,2022,True,-4569.757510350002
2022-02-25,2022-03-03,2022-03-24,16500.0,50,50,200.7,14.65,345.75,8.7,504.4,431.5,421.15,424.05,3759.999999999999,RECOVERED_BY_SECONDARY_EXACT,-9302.5,16852.5,-3644.999999999999,-145.0000000000017,-3090.0,73600.0,-0.041983695652173914,1.4588575560375994,2.0984055804683606,0.6952219197358334,158.64999999999998,220.45,0.16301767343665788,NON_LOSS,FAR_NET_ADVERSE,16525.7,16500.0,16500.0,RECOVERED_BY_SECONDARY_EXACT,0.0015551534882032667,2022,True,2662.095159399999
2022-03-04,2022-03-10,2022-03-31,16350.0,50,50,225.1,0.35,229.3,244.3,465.35,550.85,500.0,282.55,3160.0,PRIMARY_VALID_SECONDARY_COMPLETE,-11237.5,-750.0,4275.0,10872.5,-1942.5,70987.5,-0.027363972530375067,2.029437418229394,2.221235006663705,0.9136527256868731,236.05,274.9,0.07603483706805741,NON_LOSS,FAR_NET_FAVORABLE,16362.1,16350.0,16350.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0007395138765806567,2022,True,2055.5259548
2022-03-21,2022-03-24,2022-04-13,17300.0,50,50,197.0,71.35,240.0,0.7,460.0,380.1,364.0,415.9,-907.4999999999982,RECOVERED_BY_SECONDARY_EXACT,-6282.5,11965.0,-3994.999999999999,-2594.999999999999,2650.0,63050.0,0.04203013481363997,1.9166666666666667,1.8477157360406091,1.03731684981685,220.0,167.0,0.13695090439241098,NEAR_PUT_ADVERSE,FAR_NET_ADVERSE,17330.6,17300.0,17300.0,RECOVERED_BY_SECONDARY_EXACT,0.0017656630468649989,2022,True,-1993.8258014499982
2022-04-01,2022-04-07,2022-04-28,17450.0,50,50,170.6,0.1,188.85,193.4,376.05,473.6,351.0,194.65,3942.500000000001,PRIMARY_VALID_SECONDARY_COMPLETE,-8525.0,-227.50000000000057,4877.500000000001,7817.5,340.0,54325.0,0.00625862862402209,1.9912629070691026,2.0574443141852288,0.9678331964273187,187.20000000000002,180.4,0.018498367791026968,NON_LOSS,FAR_NET_FAVORABLE,17437.8,17450.0,17450.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.000699629540423719,2022,True,2863.036190750001
2022-04-18,2022-04-21,2022-05-12,17200.0,50,50,101.25,0.15,150.0,191.0,425.0,415.2,289.0,183.65,-2327.500000000001,RECOVERED_BY_SECONDARY_EXACT,-5055.0,-2050.0,-490.00000000000057,5267.5,4362.5,48262.5,0.09039109039109039,2.8333333333333335,2.854320987654321,0.9926470588235294,275.0,187.75,0.18854673149608095,BOTH_NEAR_ADVERSE,FAR_NET_FAVORABLE,17187.7,17200.0,17200.0,RECOVERED_BY_SECONDARY_EXACT,0.0007156280363282622,2022,True,-3396.233222250001
2022-04-29,2022-05-05,2022-05-26,17350.0,50,50,172.15,665.3,130.0,0.1,331.35,70.3,359.45,725.6,-207.5,PRIMARY_VALID_SECONDARY_COMPLETE,24657.5,6495.0,-13052.5,-18307.5,702.5,49647.5,0.014149755778236567,2.548846153846154,2.088004647110078,1.2207090426613312,201.35000000000002,187.29999999999998,0.03615077833517018,BOTH_NEAR_FAVORABLE_BUT_FAR_OFFSETTING,FAR_NET_ADVERSE,17331.7,17350.0,17350.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0010558687260914551,2022,False,-1308.97178825
2022-06-03,2022-06-09,2022-06-30,16750.0,50,50,162.3,280.15,160.0,0.1,340.6,152.1,311.95,421.75,-1027.5000000000043,PRIMARY_VALID_SECONDARY_COMPLETE,5892.499999999998,7995.0,-9425.000000000002,-5490.000000000001,1547.5,48742.5,0.03174847412422424,2.12875,1.922057917436845,1.1075368648821928,180.60000000000002,149.64999999999998,0.09371688115035982,BOTH_NEAR_FAVORABLE_BUT_FAR_OFFSETTING,FAR_NET_ADVERSE,16763.8,16750.0,16750.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0008232023765494263,2022,True,-2100.0053080500043
2022-07-01,2022-07-07,2022-07-28,15700.0,50,50,169.9,0.1,148.0,432.05,370.05,575.4,389.35,130.35,524.9999999999982,PRIMARY_VALID_SECONDARY_COMPLETE,-8490.0,-14202.5,10267.499999999998,12950.0,130.0,53865.0,0.002413441009932238,2.500337837837838,2.2916421424367277,1.0910681871032455,222.05,219.45000000000002,0.005889014722523455,NON_LOSS,FAR_NET_FAVORABLE,15708.3,15700.0,15700.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0005283830841019889,2022,True,-565.7091843000019
