filter,brokerage_per_order,exchange_rate,slippage_points_per_execution,trades,gross_pnl_inr,net_pnl_inr
baseline,10.0,0.0005,0.0,84,83029.99999999999,69136.40711129998
baseline,10.0,0.0005,0.5,84,83029.99999999999,54136.407111299995
baseline,10.0,0.0005,1.0,84,83029.99999999999,39136.407111299995
baseline,10.0,0.0005,2.0,84,83029.99999999999,9136.407111299985
baseline,15.0,0.0005,0.0,84,83029.99999999999,65171.60711129997
baseline,15.0,0.0005,0.5,84,83029.99999999999,50171.60711129998
baseline,15.0,0.0005,1.0,84,83029.99999999999,35171.60711129998
baseline,15.0,0.0005,2.0,84,83029.99999999999,5171.607111299986
baseline,20.0,0.0005,0.0,84,83029.99999999999,61206.80711129999
baseline,20.0,0.0005,0.5,84,83029.99999999999,46206.80711129999
baseline,20.0,0.0005,1.0,84,83029.99999999999,31206.80711129999
baseline,20.0,0.0005,2.0,84,83029.99999999999,1206.807111299986
initial_net_debit_le_80,10.0,0.0005,0.0,53,65019.99999999999,56218.0805244
initial_net_debit_le_80,10.0,0.0005,0.5,53,65019.99999999999,46718.08052440001
initial_net_debit_le_80,10.0,0.0005,1.0,53,65019.99999999999,37218.08052440001
initial_net_debit_le_80,10.0,0.0005,2.0,53,65019.99999999999,18218.080524399997
initial_net_debit_le_80,15.0,0.0005,0.0,53,65019.99999999999,53716.480524399994
initial_net_debit_le_80,15.0,0.0005,0.5,53,65019.99999999999,44216.480524399994
initial_net_debit_le_80,15.0,0.0005,1.0,53,65019.99999999999,34716.480524399994
initial_net_debit_le_80,15.0,0.0005,2.0,53,65019.99999999999,15716.4805244
initial_net_debit_le_80,20.0,0.0005,0.0,53,65019.99999999999,51214.880524399996
initial_net_debit_le_80,20.0,0.0005,0.5,53,65019.99999999999,41714.880524399996
initial_net_debit_le_80,20.0,0.0005,1.0,53,65019.99999999999,32214.880524400007
initial_net_debit_le_80,20.0,0.0005,2.0,53,65019.99999999999,13214.880524399994
near_call_far_call_ge_0.45,10.0,0.0005,0.0,36,64447.5,58205.187978350004
near_call_far_call_ge_0.45,10.0,0.0005,0.5,36,64447.5,51505.187978350004
near_call_far_call_ge_0.45,10.0,0.0005,1.0,36,64447.5,44805.187978350004
near_call_far_call_ge_0.45,10.0,0.0005,2.0,36,64447.5,31405.187978349994
near_call_far_call_ge_0.45,15.0,0.0005,0.0,36,64447.5,56505.98797835
near_call_far_call_ge_0.45,15.0,0.0005,0.5,36,64447.5,49805.98797835
near_call_far_call_ge_0.45,15.0,0.0005,1.0,36,64447.5,43105.98797835
near_call_far_call_ge_0.45,15.0,0.0005,2.0,36,64447.5,29705.98797835
near_call_far_call_ge_0.45,20.0,0.0005,0.0,36,64447.5,54806.78797835
near_call_far_call_ge_0.45,20.0,0.0005,0.5,36,64447.5,48106.78797835
near_call_far_call_ge_0.45,20.0,0.0005,1.0,36,64447.5,41406.78797835
near_call_far_call_ge_0.45,20.0,0.0005,2.0,36,64447.5,28006.78797835
near_put_far_put_le_0.55,10.0,0.0005,0.0,62,76127.5,65851.09485845
near_put_far_put_le_0.55,10.0,0.0005,0.5,62,76127.5,54651.09485845001
near_put_far_put_le_0.55,10.0,0.0005,1.0,62,76127.5,43451.09485845001
near_put_far_put_le_0.55,10.0,0.0005,2.0,62,76127.5,21051.094858449997
near_put_far_put_le_0.55,15.0,0.0005,0.0,62,76127.5,62924.69485845
near_put_far_put_le_0.55,15.0,0.0005,0.5,62,76127.5,51724.69485844999
near_put_far_put_le_0.55,15.0,0.0005,1.0,62,76127.5,40524.69485844999
near_put_far_put_le_0.55,15.0,0.0005,2.0,62,76127.5,18124.694858449995
near_put_far_put_le_0.55,20.0,0.0005,0.0,62,76127.5,59998.29485845
near_put_far_put_le_0.55,20.0,0.0005,0.5,62,76127.5,48798.294858450005
near_put_far_put_le_0.55,20.0,0.0005,1.0,62,76127.5,37598.29485845
near_put_far_put_le_0.55,20.0,0.0005,2.0,62,76127.5,15198.294858449995
combined_balance_filter,10.0,0.0005,0.0,28,63415.0,58558.46704460001
combined_balance_filter,10.0,0.0005,0.5,28,63415.0,53258.46704460001
combined_balance_filter,10.0,0.0005,1.0,28,63415.0,47958.4670446
combined_balance_filter,10.0,0.0005,2.0,28,63415.0,37358.4670446
combined_balance_filter,15.0,0.0005,0.0,28,63415.0,57236.8670446
combined_balance_filter,15.0,0.0005,0.5,28,63415.0,51936.8670446
combined_balance_filter,15.0,0.0005,1.0,28,63415.0,46636.8670446
combined_balance_filter,15.0,0.0005,2.0,28,63415.0,36036.8670446
combined_balance_filter,20.0,0.0005,0.0,28,63415.0,55915.2670446
combined_balance_filter,20.0,0.0005,0.5,28,63415.0,50615.2670446
combined_balance_filter,20.0,0.0005,1.0,28,63415.0,45315.2670446
combined_balance_filter,20.0,0.0005,2.0,28,63415.0,34715.267044600005
