cycle_id,sample,previous_expiry,near_expiry,far_expiry,offset,offset_label,entry_date,status,status_detail,spot_open,strike,cbr,atm_distance_points,atm_distance_pct,pnl_inr,entry_near_pe,exit_near_pe,entry_near_ce,exit_near_ce,entry_far_ce,exit_far_ce,entry_far_pe,exit_far_pe,call_ratio,put_ratio,gate_pass,lot_near,lot_far,pnl_points
DEV_1,DEVELOPMENT,2022-01-06,2022-01-13,2022-02-03,-1,D-1,2022-01-05,EXECUTABLE,GATE_PASS,17820.099609375,17800.0,1.065324083393855,20.099609375,0.11279179025702961,-2735.0,141.65,0.15,164.75,454.0,375.0,577.0,302.65,128.6,2.276176024279211,2.136604306388987,True,50.0,50.0,-54.70000000000002
DEV_1,DEVELOPMENT,2022-01-06,2022-01-13,2022-02-03,0,D0,2022-01-06,EXECUTABLE,GATE_PASS,17768.5,17800.0,1.1712947590838771,31.5,0.17728001800939866,-3100.0,157.0,0.15,155.9,454.0,395.45,577.0,340.0,128.6,2.5365618986529825,2.1656050955414012,True,50.0,50.0,-62.00000000000003
DEV_1,DEVELOPMENT,2022-01-06,2022-01-13,2022-02-03,1,D+1,2022-01-07,EXECUTABLE,GATE_FAIL,17797.599609375,17800.0,1.3239188858770947,2.400390625,0.013487159379265836,-4977.5,151.0,0.15,144.25,454.0,417.3,577.0,329.95,128.6,2.8928942807625653,2.185099337748344,False,50.0,50.0,-99.55000000000004
DEV_1,DEVELOPMENT,2022-01-06,2022-01-13,2022-02-03,2,D+2,2022-01-10,EXECUTABLE,GATE_FAIL,17913.30078125,17900.0,1.527705154045494,13.30078125,0.07425086762302366,-2705.000000000002,147.0,0.1,115.0,356.2,406.05,551.15,339.75,150.85,3.5308695652173916,2.311224489795918,False,50.0,50.0,-54.10000000000005
DEV_1,DEVELOPMENT,2022-01-06,2022-01-13,2022-02-03,3,D+3,2022-01-11,EXECUTABLE,GATE_PASS,17997.75,18000.0,1.1039940904368573,2.25,0.012501562695336917,-879.9999999999991,105.0,0.1,117.0,252.6,399.25,476.7,324.55,179.1,3.4123931623931623,3.090952380952381,True,50.0,50.0,-17.599999999999994
DEV_1,DEVELOPMENT,2022-01-06,2022-01-13,2022-02-03,4,D+4,2022-01-12,EXECUTABLE,GATE_FAIL,18170.400390625,18200.0,2.199010069977812,29.599609375,0.162900149356488,-919.9999999999995,100.0,0.6,47.25,49.65,322.1,343.1,310.0,247.6,6.816931216931217,3.1,False,50.0,50.0,-18.400000000000006
DEV_1,DEVELOPMENT,2022-01-06,2022-01-13,2022-02-03,5,D+5,2022-01-13,EXECUTABLE,GATE_FAIL,18257.0,18250.0,1.4336768617021278,7.0,0.038341458070876924,-1499.9999999999995,50.0,4.1,44.65,6.55,327.75,319.55,256.0,270.0,7.340425531914894,5.12,False,50.0,50.0,-29.999999999999986
DEV_2,DEVELOPMENT,2022-01-13,2022-01-20,2022-02-10,-1,D-1,2022-01-12,EXECUTABLE,GATE_PASS,18170.400390625,17800.0,0.42868330223880596,370.400390625,2.0384822715084896,2987.500000000001,59.45,50.7,428.8,0.45,618.4,350.6,200.0,292.05,1.4421641791044775,3.36417157275021,True,50.0,50.0,59.75000000000006
DEV_2,DEVELOPMENT,2022-01-13,2022-01-20,2022-02-10,0,D0,2022-01-13,EXECUTABLE,GATE_PASS,18257.0,17700.0,0.2036106223912247,557.0,3.0508845922112067,4457.499999999996,27.0,1.2,570.05,43.85,730.8,398.4,170.0,248.85,1.281992807648452,6.296296296296297,True,50.0,50.0,89.14999999999995
DEV_2,DEVELOPMENT,2022-01-13,2022-01-20,2022-02-10,1,D+1,2022-01-14,EXECUTABLE,GATE_PASS,18185.0,18100.0,0.7681964784890445,85.0,0.4674182018146824,2282.5,94.85,351.7,200.15,0.2,454.05,211.15,280.1,448.35,2.268548588558581,2.953083816552452,True,50.0,50.0,45.65000000000006
DEV_2,DEVELOPMENT,2022-01-13,2022-01-20,2022-02-10,2,D+2,2022-01-17,EXECUTABLE,GATE_PASS,18235.650390625,18200.0,1.185527240163902,35.650390625,0.19549832257876565,-2.499999999996362,96.1,449.5,121.0,0.15,409.15,173.65,274.1,512.9,3.381404958677686,2.852237252861603,True,50.0,50.0,-0.049999999999926104
DEV_2,DEVELOPMENT,2022-01-13,2022-01-20,2022-02-10,3,D+3,2022-01-18,EXECUTABLE,GATE_FAIL,18337.19921875,18350.0,1.637380130418105,12.80078125,0.06980772307316731,9302.499999999996,103.25,597.55,86.9,0.15,289.4,150.95,210.0,466.55,3.3302646720368236,2.0338983050847457,False,50.0,50.0,186.04999999999995
DEV_2,DEVELOPMENT,2022-01-13,2022-01-20,2022-02-10,4,D+4,2022-01-19,EXECUTABLE,GATE_PASS,18129.19921875,18100.0,0.9392533333333333,29.19921875,0.16106182296127514,6629.999999999999,99.0,351.7,100.0,0.2,320.2,211.15,337.5,448.35,3.202,3.409090909090909,True,50.0,50.0,132.6
DEV_2,DEVELOPMENT,2022-01-13,2022-01-20,2022-02-10,5,D+5,2022-01-20,EXECUTABLE,GATE_PASS,17921.0,17900.0,0.630875300504452,21.0,0.11718096088387925,3420.0000000000023,45.0,152.8,91.65,0.25,364.2,295.6,283.45,345.65,3.973813420621931,6.2988888888888885,True,50.0,50.0,68.40000000000006
DEV_3,DEVELOPMENT,2022-01-20,2022-01-27,2022-02-17,-1,D-1,2022-01-19,NO_EXECUTABLE_COMMON_STRIKE,,18129.19921875,,,,,,,,,,,,,,,,,,,
DEV_3,DEVELOPMENT,2022-01-20,2022-01-27,2022-02-17,0,D0,2022-01-20,NO_EXECUTABLE_COMMON_STRIKE,,17921.0,,,,,,,,,,,,,,,,,,,
DEV_3,DEVELOPMENT,2022-01-20,2022-01-27,2022-02-17,1,D+1,2022-01-21,EXECUTABLE,GATE_PASS,17613.69921875,17700.0,0.8003448275862068,86.30078125,0.48996397734629055,8107.5,135.5,600.8,150.0,0.1,348.15,152.15,392.95,650.0,2.3209999999999997,2.9,True,50.0,50.0,162.14999999999992
DEV_3,DEVELOPMENT,2022-01-20,2022-01-27,2022-02-17,2,D+2,2022-01-24,EXECUTABLE,GATE_PASS,17575.150390625,17600.0,1.1447654952186674,24.849609375,0.14139059309703186,5087.500000000004,190.0,497.4,130.0,0.1,350.0,181.4,446.85,613.8,2.6923076923076925,2.351842105263158,True,50.0,50.0,101.75
DEV_3,DEVELOPMENT,2022-01-20,2022-01-27,2022-02-17,3,D+3,2022-01-25,EXECUTABLE,GATE_PASS,17001.55078125,17000.0,0.9636363636363637,1.55078125,0.009121410569853806,2527.500000000001,150.0,1.65,165.0,91.25,482.3,447.85,455.0,295.4,2.9230303030303033,3.033333333333333,True,50.0,50.0,50.55000000000004
DEV_3,DEVELOPMENT,2022-01-20,2022-01-27,2022-02-17,4,D+4,2022-01-27,EXECUTABLE,GATE_PASS,17062.0,17050.0,0.6948650363454066,12.0,0.07033173133278631,372.4999999999991,69.25,4.1,80.0,41.1,320.25,353.95,398.95,398.95,4.003125,5.76101083032491,True,50.0,50.0,7.4499999999999815
DEV_3,DEVELOPMENT,2022-01-20,2022-01-27,2022-02-17,5,D+5,2022-01-28,AFTER_NEAR_EXPIRY,,,,,,,,,,,,,,,,,,,,,
DEV_4,DEVELOPMENT,2022-01-27,2022-02-03,2022-02-24,-1,D-1,2022-01-25,EXECUTABLE,GATE_PASS,17001.55078125,17000.0,1.0634369140574615,1.55078125,0.009121410569853806,-3964.9999999999945,300.0,0.05,326.7,578.65,469.95,657.45,405.8,120.7,1.438475665748393,1.3526666666666667,True,50.0,50.0,-79.2999999999999
DEV_4,DEVELOPMENT,2022-01-27,2022-02-03,2022-02-24,0,D0,2022-01-27,EXECUTABLE,GATE_FAIL,17062.0,17050.0,1.760112059597616,12.0,0.07033173133278631,-6837.500000000004,327.35,0.1,162.45,524.15,406.6,624.05,465.5,130.75,2.5029239766081877,1.4220253551244844,False,50.0,50.0,-136.7500000000001
DEV_4,DEVELOPMENT,2022-01-27,2022-02-03,2022-02-24,1,D+1,2022-01-28,EXECUTABLE,GATE_PASS,17208.30078125,17200.0,1.069715174952851,8.30078125,0.04823707671965178,-3472.500000000002,251.05,0.1,260.0,381.45,424.75,513.6,383.4,169.3,1.6336538461538461,1.527185819557857,True,50.0,50.0,-69.44999999999999
DEV_4,DEVELOPMENT,2022-01-27,2022-02-03,2022-02-24,2,D+2,2022-01-31,EXECUTABLE,GATE_PASS,17301.05078125,17300.0,0.8309915379173236,1.05078125,0.006073511160020311,1249.9999999999982,200.0,0.1,224.4,278.0,378.45,449.7,405.9,198.65,1.6864973262032084,2.0295,True,50.0,50.0,24.99999999999997
DEV_4,DEVELOPMENT,2022-01-27,2022-02-03,2022-02-24,3,D+3,2022-02-01,EXECUTABLE,GATE_FAIL,17529.44921875,17550.0,1.3171626984126983,20.55078125,0.11723574992885855,-4154.999999999998,245.65,0.9,180.0,25.7,390.5,295.1,404.6,301.85,2.1694444444444443,1.647058823529412,False,50.0,50.0,-83.09999999999997
DEV_4,DEVELOPMENT,2022-01-27,2022-02-03,2022-02-24,4,D+4,2022-02-02,EXECUTABLE,GATE_PASS,17706.19921875,17700.0,1.1675320955035375,6.19921875,0.03501157235052078,-2377.4999999999986,99.2,115.6,86.6,0.25,331.15,230.65,324.9,374.7,3.8239030023094687,3.2752016129032255,True,50.0,50.0,-47.55
DEV_4,DEVELOPMENT,2022-01-27,2022-02-03,2022-02-24,5,D+5,2022-02-03,EXECUTABLE,GATE_PASS,17767.75,17750.0,0.18329464127658496,17.75,0.0999000999000999,374.9999999999982,12.2,166.95,70.0,0.2,297.05,203.4,282.45,405.85,4.243571428571428,23.151639344262296,True,50.0,50.0,7.499999999999972
DEV_5,DEVELOPMENT,2022-02-03,2022-02-10,2022-03-03,-1,D-1,2022-02-02,EXECUTABLE,GATE_FAIL,17706.19921875,17700.0,9.897239744980096,6.19921875,0.03501157235052078,-16097.500000000002,237.55,85.45,229.15,0.15,383.8,244.5,40.2,299.75,1.6748854462142702,0.16922753104609556,False,50.0,50.0,-321.95000000000005
DEV_5,DEVELOPMENT,2022-02-03,2022-02-10,2022-03-03,0,D0,2022-02-03,EXECUTABLE,GATE_PASS,17767.75,17700.0,0.7871505184152392,67.75,0.3813088320130574,2257.4999999999995,145.1,85.45,221.5,0.15,365.35,244.5,304.05,299.75,1.6494356659142213,2.095451412818746,True,50.0,50.0,45.14999999999998
DEV_5,DEVELOPMENT,2022-02-03,2022-02-10,2022-03-03,1,D+1,2022-02-04,EXECUTABLE,GATE_FAIL,17590.19921875,17600.0,1.3392831765341218,9.80078125,0.05571728397227593,-284.9999999999991,228.0,2.3,151.0,14.7,341.0,290.8,384.45,250.55,2.2582781456953644,1.6861842105263158,False,50.0,50.0,-5.699999999999989
DEV_5,DEVELOPMENT,2022-02-03,2022-02-10,2022-03-03,2,D+2,2022-02-07,EXECUTABLE,GATE_PASS,17456.30078125,17450.0,1.0333108426442634,6.30078125,0.036094596037023696,2922.499999999998,120.05,0.15,100.15,162.45,336.75,376.75,390.65,190.0,3.3624563155267095,3.2540608079966677,True,50.0,50.0,58.44999999999999
DEV_5,DEVELOPMENT,2022-02-03,2022-02-10,2022-03-03,3,D+3,2022-02-08,EXECUTABLE,GATE_FAIL,17279.849609375,17300.0,2.0355749460909687,20.150390625,0.1166120717512936,-5095.000000000002,248.0,0.15,115.0,312.95,327.35,474.95,346.8,150.5,2.846521739130435,1.3983870967741936,False,50.0,50.0,-101.89999999999998
DEV_5,DEVELOPMENT,2022-02-03,2022-02-10,2022-03-03,4,D+4,2022-02-09,EXECUTABLE,GATE_FAIL,17370.099609375,17350.0,1.463507944425343,20.099609375,0.11571384060544954,-1399.9999999999973,94.0,0.15,74.0,260.9,321.5,453.35,279.05,158.15,4.344594594594595,2.9686170212765957,False,50.0,50.0,-27.99999999999997
DEV_5,DEVELOPMENT,2022-02-03,2022-02-10,2022-03-03,5,D+5,2022-02-10,EXECUTABLE,GATE_FAIL,17554.099609375,17550.0,1.730475304993186,4.099609375,0.023354142144724695,-104.99999999999955,72.05,0.35,40.4,63.35,292.55,314.3,301.5,230.7,7.241336633663367,4.184594031922276,False,50.0,50.0,-2.0999999999999943
DEV_6,DEVELOPMENT,2022-02-10,2022-02-17,2022-03-10,-1,D-1,2022-02-09,EXECUTABLE,GATE_FAIL,17370.099609375,17400.0,1.3133347823828,29.900390625,0.17213712815361257,-3772.500000000001,210.3,80.25,180.7,0.35,393.05,325.75,348.3,406.75,2.175152185943553,1.6562054208273893,False,50.0,50.0,-75.45000000000002
DEV_6,DEVELOPMENT,2022-02-10,2022-02-17,2022-03-10,0,D0,2022-02-10,EXECUTABLE,GATE_PASS,17554.099609375,17500.0,0.9395687746863106,54.099609375,0.30818789102750327,-420.0000000000009,149.9,179.9,175.1,0.15,374.2,274.5,340.95,454.6,2.1370645345516848,2.274516344229486,True,50.0,50.0,-8.400000000000034
DEV_6,DEVELOPMENT,2022-02-10,2022-02-17,2022-03-10,1,D+1,2022-02-11,EXECUTABLE,GATE_PASS,17451.0,17500.0,0.9081041666666667,49.0,0.2807862013638187,977.5,140.4,179.9,150.0,0.15,335.3,274.5,345.6,454.6,2.2353333333333336,2.4615384615384617,True,50.0,50.0,19.549999999999983
DEV_6,DEVELOPMENT,2022-02-10,2022-02-17,2022-03-10,2,D+2,2022-02-14,EXECUTABLE,GATE_PASS,17076.150390625,17100.0,0.36175045170139236,23.849609375,0.13966619425004423,13095.0,105.0,0.2,153.65,215.75,216.8,527.1,409.55,291.05,1.410999023755288,3.9004761904761907,True,50.0,50.0,261.90000000000003
DEV_6,DEVELOPMENT,2022-02-10,2022-02-17,2022-03-10,3,D+3,2022-02-15,EXECUTABLE,GATE_FAIL,16933.25,16900.0,1.4321308180314485,33.25,0.1963592340513487,-4139.999999999999,190.0,0.1,168.0,413.8,432.0,663.85,341.15,220.1,2.5714285714285716,1.7955263157894736,False,50.0,50.0,-82.80000000000004
DEV_6,DEVELOPMENT,2022-02-10,2022-02-17,2022-03-10,4,D+4,2022-02-16,EXECUTABLE,GATE_PASS,17408.44921875,17400.0,1.1760303048833474,8.44921875,0.0485351603915394,-2695.0,124.0,80.25,122.5,0.35,368.35,325.75,317.05,406.75,3.0069387755102044,2.5568548387096777,True,50.0,50.0,-53.900000000000006
DEV_6,DEVELOPMENT,2022-02-10,2022-02-17,2022-03-10,5,D+5,2022-02-17,EXECUTABLE,GATE_FAIL,17396.55078125,17400.0,1.6470613712157305,3.44921875,0.019827026594936095,-2589.9999999999995,85.0,80.25,55.0,0.35,335.55,325.75,314.85,406.75,6.1009090909090915,3.704117647058824,False,50.0,50.0,-51.79999999999999
DEV_7,DEVELOPMENT,2022-02-17,2022-02-24,2022-03-17,-1,D-1,2022-02-16,NO_EXECUTABLE_COMMON_STRIKE,,17408.44921875,,,,,,,,,,,,,,,,,,,
DEV_7,DEVELOPMENT,2022-02-17,2022-02-24,2022-03-17,0,D0,2022-02-17,EXECUTABLE,GATE_FAIL,17396.55078125,17500.0,1.8957625695196147,103.44921875,0.5946536187018036,8590.0,266.0,1234.75,146.8,0.1,336.05,71.2,321.2,1000.0,2.2891689373297,1.2075187969924812,False,50.0,50.0,171.80000000000007
DEV_7,DEVELOPMENT,2022-02-17,2022-02-24,2022-03-17,1,D+1,2022-02-18,EXECUTABLE,GATE_FAIL,17236.05078125,17500.0,8.513709398942485,263.94921875,1.5313787485305712,-6905.0,355.55,1234.75,90.0,0.1,332.85,71.2,154.45,1000.0,3.6983333333333337,0.43439741245956964,False,50.0,50.0,-138.0999999999999
DEV_7,DEVELOPMENT,2022-02-17,2022-02-24,2022-03-17,2,D+2,2022-02-21,EXECUTABLE,GATE_FAIL,17192.25,17200.0,1.2586701623939311,7.75,0.04507845104625631,2717.4999999999964,200.0,928.3,175.05,0.15,447.05,128.9,405.8,936.5,2.553841759497286,2.029,False,50.0,50.0,54.34999999999991
DEV_7,DEVELOPMENT,2022-02-17,2022-02-24,2022-03-17,3,D+3,2022-02-22,EXECUTABLE,GATE_PASS,16847.94921875,16800.0,0.469861616343157,47.94921875,0.28459973452814985,-2750.0000000000036,66.4,536.2,222.2,0.2,580.35,243.9,369.1,779.45,2.611836183618362,5.558734939759036,True,50.0,50.0,-55.0
DEV_7,DEVELOPMENT,2022-02-17,2022-02-24,2022-03-17,4,D+4,2022-02-23,EXECUTABLE,GATE_FAIL,17194.5,17200.0,1.6223636590540371,5.5,0.031986972578440784,3285.0,150.0,928.3,91.65,0.15,397.15,128.9,400.65,936.5,4.333333333333333,2.671,False,50.0,50.0,65.69999999999993
DEV_7,DEVELOPMENT,2022-02-17,2022-02-24,2022-03-17,5,D+5,2022-02-24,EXECUTABLE,GATE_PASS,16548.900390625,16500.0,0.6797572524174726,48.900390625,0.29549027107989734,-7087.5,60.1,233.2,149.95,0.55,636.0,381.25,375.0,584.5,4.241413804601534,6.239600665557404,True,50.0,50.0,-141.75
DEV_8,DEVELOPMENT,2022-02-24,2022-03-03,2022-03-24,-1,D-1,2022-02-23,EXECUTABLE,GATE_PASS,17194.5,17200.0,1.1375918073360745,5.5,0.031986972578440784,3327.4999999999964,250.0,713.0,224.55,0.1,436.2,153.75,426.9,765.35,1.9425517702070807,1.7076,True,50.0,50.0,66.55000000000001
DEV_8,DEVELOPMENT,2022-02-24,2022-03-03,2022-03-24,0,D0,2022-02-24,EXECUTABLE,GATE_PASS,16548.900390625,16500.0,0.6765706494525306,48.900390625,0.29549027107989734,877.4999999999977,173.0,14.65,345.35,8.7,647.95,431.5,479.75,424.05,1.8762125380049226,2.773121387283237,True,50.0,50.0,17.549999999999983
DEV_8,DEVELOPMENT,2022-02-24,2022-03-03,2022-03-24,1,D+1,2022-02-25,EXECUTABLE,GATE_PASS,16515.650390625,16500.0,0.6952219197358334,15.650390625,0.0947609706844112,3759.999999999999,200.7,14.65,345.75,8.7,504.4,431.5,421.15,424.05,1.4588575560375994,2.0984055804683606,True,50.0,50.0,75.20000000000002
