sample,offset,offset_label,paired_cycles,sum_delta_vs_Dplus1,mean_delta_vs_Dplus1,median_delta_vs_Dplus1,offset_higher_cycles,offset_lower_cycles,same_cycles
DEVELOPMENT,-1,D-1,134,33552.5,250.3917910447761,0.0,49,55,30
DEVELOPMENT,0,D0,134,-26525.00000000003,-197.94776119403008,0.0,45,58,31
DEVELOPMENT,2,D+2,134,23157.499999999996,172.81716417910445,0.0,52,58,24
DEVELOPMENT,3,D+3,134,-74437.50000000001,-555.5037313432837,0.0,36,63,35
DEVELOPMENT,4,D+4,134,-68223.75,-509.1324626865672,0.0,40,56,38
DEVELOPMENT,5,D+5,134,-106851.25,-797.3973880597015,0.0,29,61,44
OOS,-1,D-1,88,2377.500000000002,27.017045454545475,0.0,2,0,86
OOS,0,D0,88,1162.5,13.210227272727273,0.0,1,1,86
OOS,2,D+2,88,2985.0,33.92045454545455,0.0,2,0,86
OOS,3,D+3,88,-7214.999999999998,-81.98863636363635,0.0,0,2,86
OOS,4,D+4,88,2422.500000000002,27.52840909090911,0.0,1,1,86
OOS,5,D+5,88,-2133.749999999998,-24.24715909090907,0.0,1,1,86
