sample,strategy,slippage_points,net_pnl_inr
DEVELOPMENT,F+1,0.0,-1409.107652974999
DEVELOPMENT,F+1,0.5,-28659.107652975
DEVELOPMENT,F+1,1.0,-55909.107652975
DEVELOPMENT,F+1,2.0,-110409.10765297498
DEVELOPMENT,F+2,0.0,17003.737936424994
DEVELOPMENT,F+2,0.5,-10196.262063575008
DEVELOPMENT,F+2,1.0,-37396.262063575006
DEVELOPMENT,F+2,2.0,-91796.262063575
DEVELOPMENT,F+3,0.0,-6698.539144024988
DEVELOPMENT,F+3,0.5,-29698.539144024988
DEVELOPMENT,F+3,1.0,-52698.539144024995
DEVELOPMENT,F+3,2.0,-98698.53914402498
DEVELOPMENT,F+4,0.0,29610.234052875017
DEVELOPMENT,F+4,0.5,16110.234052875016
DEVELOPMENT,F+4,1.0,2610.234052875003
DEVELOPMENT,F+4,2.0,-24389.765947124994
DEVELOPMENT,ADAPTIVE,0.0,102274.72044682503
DEVELOPMENT,ADAPTIVE,0.5,74624.72044682503
DEVELOPMENT,ADAPTIVE,1.0,46974.72044682503
DEVELOPMENT,ADAPTIVE,2.0,-8325.279553174978
OOS,F+1,0.0,6124.492577190019
OOS,F+1,0.5,-14575.507422809978
OOS,F+1,1.0,-35275.50742280998
OOS,F+1,2.0,-76675.50742280997
OOS,F+2,0.0,-48210.98173433001
OOS,F+2,0.5,-69170.98173433001
OOS,F+2,1.0,-90130.98173433001
OOS,F+2,2.0,-132050.98173433
OOS,F+3,0.0,10323.248687444986
OOS,F+3,0.5,-7996.751312555016
OOS,F+3,1.0,-26316.751312555018
OOS,F+3,2.0,-62956.75131255502
OOS,F+4,0.0,75118.29672854504
OOS,F+4,0.5,63078.29672854503
OOS,F+4,1.0,51038.29672854503
OOS,F+4,2.0,26958.29672854503
OOS,ADAPTIVE,0.0,118631.14448876002
OOS,ADAPTIVE,0.5,96551.14448876004
OOS,ADAPTIVE,1.0,74471.14448876002
OOS,ADAPTIVE,2.0,30311.144488760034
