strategy,slippage_points,net_pnl
F+1,0.0,6096.457105250001
F+1,0.5,5316.457105250001
F+1,1.0,4536.457105250001
F+1,2.0,2976.457105250002
F+2,0.0,2410.656327629996
F+2,0.5,1630.6563276299964
F+2,1.0,850.6563276299964
F+2,2.0,-709.3436723700036
F+3,0.0,5380.389384244996
F+3,0.5,4600.389384244996
F+3,1.0,3820.3893842449957
F+3,2.0,2260.3893842449957
F+4,0.0,0.0
F+4,0.5,0.0
F+4,1.0,0.0
F+4,2.0,0.0
ADAPTIVE,0.0,6096.457105250001
ADAPTIVE,0.5,5316.457105250001
ADAPTIVE,1.0,4536.457105250001
ADAPTIVE,2.0,2976.457105250002
