entry_near_ce,entry_near_pe,entry_far_ce,entry_far_pe,exit_near_ce,exit_near_pe,exit_far_ce,exit_far_pe,selection_score,entry_credit_points,atm_distance_points,cbr,exit_available,volume_min,far_expiry,horizon,horizon_label,strike,entry_date,near_expiry,previous_expiry,cycle_id,spot_open,lot_near,lot_far,pnl_inr,status,f1_expiry,f2_expiry,f3_expiry,f4_expiry
100.6,120.0,190.05,174.2,1.05,265.95,48.05,251.45,-0.001474004210843236,-35.25000000000003,14.450000000000728,1.301376585492784,True,32354.0,2026-09-15,1,F+1,23900.0,2026-09-02,2026-09-08,2026-09-01,P14_20260902,23914.45,65.0,65.0,1706.25,EXECUTABLE,,,,
100.6,120.0,253.4,199.55,1.05,265.95,106.65,283.2,-0.003063001657993389,-73.25,14.450000000000728,1.5147401733423065,True,1235.0,2026-09-22,2,F+2,23900.0,2026-09-02,2026-09-08,2026-09-01,P14_20260902,23914.45,65.0,65.0,981.5000000000018,EXECUTABLE,,,,
100.6,120.0,325.0,262.3,1.05,265.95,156.9,308.8,-0.0034330708002902007,-82.1,14.450000000000728,1.477979246139632,True,27629.0,2026-09-29,3,F+3,23900.0,2026-09-02,2026-09-08,2026-09-01,P14_20260902,23914.45,65.0,65.0,2008.5,EXECUTABLE,,,,
,,,,,,,,,,,,,,2026-10-06,4,F+4,23900.0,2026-09-02,2026-09-08,2026-09-01,P14_20260902,23914.45,,,,NO_ENTRY_LEG,2026-09-15,2026-09-22,2026-09-29,2026-10-06
100.6,120.0,190.05,174.2,1.05,265.95,48.05,251.45,-0.001474004210843236,-35.25000000000003,14.450000000000728,1.301376585492784,True,32354.0,2026-09-15,1,F+1,23900.0,2026-09-02,2026-09-08,2026-09-01,P14_20260902,23914.45,65.0,65.0,1706.25,ADAPTIVE_SELECTED,,,,
221.4,74.5,267.3,121.4,1.95,298.15,65.85,320.2,4.267759213025201e-05,1.0,18.5,0.7408988628601277,True,5800.0,2026-09-22,1,F+1,23450.0,2026-09-09,2026-09-15,2026-09-08,P14_20260909,23431.5,65.0,65.0,2785.25,EXECUTABLE,,,,
221.4,74.5,349.6,154.9,1.95,298.15,132.95,357.6,-0.0020399889038260465,-47.80000000000001,18.5,0.7594490836236101,True,2956.0,2026-09-29,2,F+2,23450.0,2026-09-09,2026-09-15,2026-09-08,P14_20260909,23431.5,65.0,65.0,1543.7499999999964,EXECUTABLE,,,,
221.4,74.5,360.0,185.7,1.95,298.15,189.3,383.55,-0.001169366024368904,-27.399999999999977,18.5,0.6523328561233916,True,22.0,2026-10-06,3,F+3,23450.0,2026-09-09,2026-09-15,2026-09-08,P14_20260909,23431.5,65.0,65.0,4845.749999999998,EXECUTABLE,,,,
,,,,,,,,,,,,,,2026-10-13,4,F+4,23450.0,2026-09-09,2026-09-15,2026-09-08,P14_20260909,23431.5,,,,NO_ENTRY_LEG,2026-09-22,2026-09-29,2026-10-06,2026-10-13
221.4,74.5,267.3,121.4,1.95,298.15,65.85,320.2,4.267759213025201e-05,1.0,18.5,0.7408988628601277,True,5800.0,2026-09-22,1,F+1,23450.0,2026-09-09,2026-09-15,2026-09-08,P14_20260909,23431.5,65.0,65.0,2785.25,ADAPTIVE_SELECTED,,,,
175.0,151.9,241.45,202.05,140.15,0.8,249.45,59.6,-0.0007020536144993446,-16.299999999999983,17.599999999998545,1.0372610739915862,True,67847.0,2026-09-29,1,F+1,23200.0,2026-09-16,2026-09-22,2026-09-15,P14_20260916,23217.6,65.0,65.0,2223.000000000002,EXECUTABLE,,,,
175.0,151.9,330.55,238.65,140.15,0.8,312.15,95.45,-0.0029632692440217773,-68.80000000000001,17.599999999998545,1.2022518332285776,True,2679.0,2026-10-06,2,F+2,23200.0,2026-09-16,2026-09-22,2026-09-15,P14_20260916,23217.6,65.0,65.0,555.7499999999982,EXECUTABLE,,,,
175.0,151.9,407.25,267.9,140.15,0.8,374.25,130.25,-0.005006977465371098,-116.25,17.599999999998545,1.3194960806270997,True,245.0,2026-10-13,3,F+3,23200.0,2026-09-16,2026-09-22,2026-09-15,P14_20260916,23217.6,65.0,65.0,-754.0000000000018,EXECUTABLE,,,,
,,,,,,,,,,,,,,2026-10-20,4,F+4,23200.0,2026-09-16,2026-09-22,2026-09-15,P14_20260916,23217.6,,,,NO_ENTRY_LEG,2026-09-29,2026-10-06,2026-10-13,2026-10-20
175.0,151.9,241.45,202.05,140.15,0.8,249.45,59.6,-0.0007020536144993446,-16.299999999999983,17.599999999998545,1.0372610739915862,True,67847.0,2026-09-29,1,F+1,23200.0,2026-09-16,2026-09-22,2026-09-15,P14_20260916,23217.6,65.0,65.0,2223.000000000002,ADAPTIVE_SELECTED,,,,
