entry_date,near_expiry,far_expiry,expiry_regime,spot_open,primary_reason,primary_strike,primary_spot_open,primary_near_pe_open,primary_near_ce_open,primary_far_ce_open,primary_far_pe_open,primary_near_pe_close,primary_near_ce_close,primary_far_ce_close,primary_far_pe_close
2025-01-01,2025-01-02,2025-01-23,THURSDAY,23637.650390625,VALID,,23637.650390625,,,,,,,,
2025-01-03,2025-01-09,2025-01-30,THURSDAY,24196.400390625,VALID,,24196.400390625,,,,,,,,
2025-01-10,2025-01-16,2025-02-06,THURSDAY,23551.900390625,VALID,,23551.900390625,,,,,,,,
2025-01-17,2025-01-23,2025-02-13,THURSDAY,23277.099609375,VALID,,23277.099609375,,,,,,,,
2025-01-24,2025-01-30,2025-02-20,THURSDAY,23183.900390625,VALID,,23183.900390625,,,,,,,,
2025-01-31,2025-02-06,2025-02-27,THURSDAY,23296.75,VALID,,23296.75,,,,,,,,
2025-02-07,2025-02-13,2025-03-06,THURSDAY,23649.5,VALID,,23649.5,,,,,,,,
2025-02-14,2025-02-20,2025-03-13,THURSDAY,23096.44921875,VALID,,23096.44921875,,,,,,,,
2025-02-21,2025-02-27,2025-03-20,THURSDAY,22857.19921875,VALID,,22857.19921875,,,,,,,,
2025-02-28,2025-03-06,2025-03-27,THURSDAY,22433.400390625,VALID,,22433.400390625,,,,,,,,
2025-03-07,2025-03-13,2025-04-03,THURSDAY,22508.650390625,VALID,,22508.650390625,,,,,,,,
2025-03-17,2025-03-20,2025-04-09,THURSDAY,22353.150390625,VALID,,22353.150390625,,,,,,,,
2025-03-21,2025-03-27,2025-04-17,THURSDAY,23168.25,VALID,,23168.25,,,,,,,,
2025-03-28,2025-04-03,2025-04-24,THURSDAY,23600.400390625,VALID,,23600.400390625,,,,,,,,
2025-04-04,2025-04-09,2025-04-30,THURSDAY,23190.400390625,VALID,,23190.400390625,,,,,,,,
2025-04-11,2025-04-17,2025-05-08,THURSDAY,22695.400390625,VALID,,22695.400390625,,,,,,,,
2025-04-21,2025-04-24,2025-05-15,THURSDAY,23949.150390625,VALID,,23949.150390625,,,,,,,,
2025-04-25,2025-04-30,2025-05-22,THURSDAY,24289.0,VALID,,24289.0,,,,,,,,
2025-05-02,2025-05-08,2025-05-29,THURSDAY,24311.900390625,VALID,,24311.900390625,,,,,,,,
2025-05-09,2025-05-15,2025-06-05,THURSDAY,23935.75,VALID,,23935.75,,,,,,,,
