entry_date,near_expiry,far_expiry,expiry_regime,spot_open,status,status_detail,gate_pass,strike,entry_near_pe,entry_near_ce,entry_far_ce,entry_far_pe,exit_near_pe,exit_near_ce,exit_far_ce,exit_far_pe,lot_near,lot_far,call_ratio,put_ratio,calendar_balance_ratio,pnl_points,pnl_inr,reason,fixed_status,event_status
2025-01-01,2025-01-02,2025-01-23,THURSDAY,23637.650390625,ERROR,GATE_PASS,True,23650.0,113.0,172.9,390.0,300.0,0.35,541.1,716.15,132.6,75.0,75.0,2.255639097744361,2.6548672566371683,0.849624060150376,12.69999999999996,952.5,KeyError:'timestamp',,
2025-01-03,2025-01-09,2025-01-30,THURSDAY,24196.400390625,ERROR,GATE_FAIL,False,24200.0,199.0,176.0,533.0,428.0,680.85,0.1,106.95,652.85,75.0,75.0,3.028409090909091,2.150753768844221,1.4080687128292269,6.850000000000023,513.75,KeyError:'timestamp',,
2025-01-10,2025-01-16,2025-02-06,THURSDAY,23551.900390625,ERROR,GATE_PASS,True,23550.0,174.95,210.0,497.0,366.7,245.15,0.1,321.65,421.45,75.0,75.0,2.3666666666666667,2.0960274364104032,1.129120079992728,50.0,3749.999999999998,KeyError:'timestamp',,
2025-01-17,2025-01-23,2025-02-13,THURSDAY,23277.099609375,ERROR,GATE_FAIL,False,23300.0,173.0,189.0,511.0,376.5,93.25,0.2,421.55,377.3,75.0,75.0,2.703703703703704,2.1763005780346822,1.242339284835965,18.80000000000001,1410.0,KeyError:'timestamp',,
2025-01-24,2025-01-30,2025-02-20,THURSDAY,23183.900390625,ERROR,GATE_FAIL,False,23200.0,196.0,191.0,563.15,355.0,2.6,30.5,520.0,329.25,75.0,75.0,2.948429319371728,1.8112244897959184,1.6278652016812918,-50.29999999999996,-3772.499999999998,KeyError:'timestamp',,
2025-01-31,2025-02-06,2025-02-27,THURSDAY,23296.75,ANALYZED,GATE_PASS,True,23300.0,272.0,365.0,570.3,381.45,0.1,293.35,547.8,156.05,75.0,75.0,1.562465753424657,1.402389705882353,1.1141451957832136,2.6499999999999773,198.75,,NO_TRIGGER,NO_TRIGGER
2025-02-07,2025-02-13,2025-03-06,THURSDAY,23649.5,ERROR,GATE_PASS,True,23650.0,156.75,201.95,339.2,295.0,617.25,0.1,111.3,316.7,75.0,75.0,1.6796236692250557,1.881977671451356,0.8924780005119576,412.75000000000006,30956.25,KeyError:'timestamp',,
2025-02-14,2025-02-20,2025-03-13,THURSDAY,23096.44921875,ERROR,GATE_FAIL,False,23100.0,170.0,190.0,430.05,265.5,187.4,0.15,261.85,330.0,75.0,75.0,2.2634210526315792,1.561764705882353,1.4492714837942315,-25.44999999999999,-1908.75,KeyError:'timestamp',,
2025-02-21,2025-02-27,2025-03-20,THURSDAY,22857.19921875,ERROR,GATE_PASS,True,22850.0,133.3,198.05,471.0,280.05,301.0,0.15,168.95,357.0,75.0,75.0,2.3781873264327187,2.100900225056264,1.1319848977449791,-13.400000000000034,-1004.9999999999992,KeyError:'timestamp',,
2025-02-28,2025-03-06,2025-03-27,THURSDAY,22433.400390625,ANALYZED,GATE_PASS,True,22450.0,110.0,184.2,425.0,275.55,0.25,94.5,373.8,204.6,75.0,75.0,2.3072747014115094,2.505,0.9210677450744548,-0.2999999999999829,-22.49999999999909,,NO_TRIGGER,NO_TRIGGER
2025-03-07,2025-03-13,2025-04-03,THURSDAY,22508.650390625,ERROR,GATE_FAIL,False,22500.0,148.0,164.0,399.45,257.95,104.65,0.15,254.95,263.15,75.0,75.0,2.435670731707317,1.7429054054054054,1.397477295183884,-29.19999999999999,-2189.999999999999,KeyError:'timestamp',,
2025-03-17,2025-03-20,2025-04-09,THURSDAY,22353.150390625,ERROR,GATE_FAIL,False,22400.0,131.0,165.5,450.0,252.15,0.1,793.85,918.0,47.1,75.0,75.0,2.719033232628399,1.924809160305344,1.4126248402709507,-86.19999999999999,-6465.0,KeyError:'timestamp',,
2025-03-21,2025-03-27,2025-04-17,THURSDAY,23168.25,ERROR,GATE_FAIL,False,23200.0,144.9,129.9,374.0,215.0,0.2,393.85,646.95,111.0,75.0,75.0,2.879137798306389,1.4837819185645271,1.940404962672539,-31.69999999999999,-2377.500000000004,KeyError:'timestamp',,
2025-03-28,2025-04-03,2025-04-24,THURSDAY,23600.400390625,ERROR,GATE_PASS,True,23600.0,118.0,209.6,410.3,248.95,349.2,0.1,148.0,425.0,75.0,75.0,1.9575381679389317,2.109745762711864,0.927855006293609,2.349999999999909,176.25,KeyError:'timestamp',,
2025-04-04,2025-04-09,2025-04-30,THURSDAY,23190.400390625,ERROR,GATE_FAIL,False,23200.0,160.0,149.95,390.0,260.0,801.45,0.1,166.65,843.6,75.0,75.0,2.600866955651884,1.625,1.6005335111703902,-15.649999999999975,-1173.75,KeyError:'timestamp',,
2025-04-11,2025-04-17,2025-05-08,THURSDAY,22695.400390625,ERROR,GATE_FAIL,False,22700.0,274.2,294.8,610.0,379.35,0.1,1150.55,1222.55,55.65,75.0,75.0,2.0691994572591588,1.3834792122538295,1.4956491134320844,-193.59999999999997,-14519.999999999996,KeyError:'timestamp',,
2025-04-21,2025-04-24,2025-05-15,THURSDAY,23949.150390625,ERROR,GATE_FAIL,False,23950.0,209.05,150.4,510.05,332.1,0.25,296.05,646.05,221.3,75.0,75.0,3.3912898936170213,1.5886151638364028,2.134746017044981,-107.65000000000008,-8073.750000000004,KeyError:'timestamp',,
2025-04-25,2025-04-30,2025-05-22,THURSDAY,24289.0,ERROR,GATE_FAIL,False,24300.0,190.0,196.0,482.8,362.2,0.4,60.9,460.75,353.5,75.0,75.0,2.463265306122449,1.906315789473684,1.2921601550614723,-67.85000000000002,-5088.750000000002,KeyError:'timestamp',,
2025-05-02,2025-05-08,2025-05-29,THURSDAY,24311.900390625,ANALYZED,GATE_FAIL,False,24300.0,234.0,284.65,601.0,380.05,10.65,7.25,403.8,428.35,75.0,75.0,2.111364834006675,1.6241452991452991,1.2999851892055303,-191.45,-14358.75,,NO_TRIGGER,NO_TRIGGER
2025-05-09,2025-05-15,2025-06-05,THURSDAY,23935.75,ERROR,GATE_FAIL,False,23900.0,330.0,322.5,675.55,358.35,0.15,1165.2,1278.0,75.1,75.0,75.0,2.094728682170542,1.085909090909091,1.9290092510570087,-286.85000000000014,-21513.75,KeyError:'timestamp',,
2025-05-16,2025-05-22,2025-06-12,THURSDAY,25064.650390625,ERROR,GATE_PASS,True,25000.0,176.0,230.0,482.0,341.85,395.2,0.25,228.7,520.05,75.0,75.0,2.095652173913044,1.9423295454545453,1.0789374948331012,17.450000000000045,1308.7500000000057,KeyError:'timestamp',,
2025-05-23,2025-05-29,2025-06-19,THURSDAY,24639.5,ERROR,GATE_PASS,True,24600.0,178.25,241.85,488.8,315.5,0.35,207.65,537.9,228.85,75.0,75.0,2.021087450899318,1.769985974754558,1.141866364890027,-7.950000000000074,-596.2500000000027,KeyError:'timestamp',,
2025-05-30,2025-06-05,2025-06-26,THURSDAY,24812.599609375,ANALYZED,GATE_PASS,True,24800.0,182.0,243.55,482.9,345.0,58.05,0.55,374.5,313.5,75.0,75.0,1.982755081092178,1.8956043956043955,1.0459751442283374,42.150000000000034,3161.250000000002,,NO_TRIGGER,NO_TRIGGER
2025-06-06,2025-06-12,2025-07-03,THURSDAY,24748.69921875,ERROR,GATE_FAIL,False,24750.0,143.0,140.0,450.0,353.65,0.2,146.2,448.15,226.05,75.0,75.0,3.2142857142857144,2.4730769230769227,1.2997111752943793,-23.250000000000057,-1743.7500000000036,KeyError:'timestamp',,
2025-06-13,2025-06-19,2025-07-10,THURSDAY,24473.0,ERROR,GATE_FAIL,False,24500.0,150.0,200.0,495.9,308.25,0.2,301.9,546.55,202.05,75.0,75.0,2.4795,2.055,1.2065693430656932,-94.85000000000002,-7113.750000000003,KeyError:'timestamp',,
2025-06-20,2025-06-26,2025-07-17,THURSDAY,24787.650390625,ERROR,GATE_FAIL,False,24800.0,188.0,178.0,418.0,304.05,0.25,750.4,861.1,80.45,75.0,75.0,2.348314606741573,1.6172872340425533,1.4520083738444851,-93.44999999999996,-7008.75,KeyError:'timestamp',,
2025-06-27,2025-07-03,2025-07-24,THURSDAY,25576.650390625,ERROR,GATE_FAIL,False,25600.0,193.0,144.0,354.15,317.55,192.05,0.25,228.05,337.3,75.0,75.0,2.459375,1.6453367875647669,1.494754763029444,-3.0499999999999545,-228.74999999999815,KeyError:'timestamp',,
2025-07-04,2025-07-10,2025-07-31,THURSDAY,25428.849609375,ERROR,GATE_PASS,True,25450.0,160.65,160.0,355.65,299.15,89.4,0.4,249.2,271.5,75.0,75.0,2.2228125,1.862122626828509,1.1936982387598196,9.549999999999956,716.2499999999991,KeyError:'timestamp',,
2025-07-11,2025-07-17,2025-08-07,THURSDAY,25255.5,ERROR,GATE_PASS,True,25250.0,103.0,174.15,380.15,260.3,137.9,0.25,222.95,268.6,75.0,75.0,2.1828883146712603,2.5271844660194174,0.8637629520212825,43.30000000000001,3247.499999999999,KeyError:'timestamp',,
2025-07-18,2025-07-24,2025-08-14,THURSDAY,25108.55078125,ERROR,GATE_PASS,True,25100.0,109.0,162.2,342.05,244.45,35.35,0.6,258.75,206.25,75.0,75.0,2.10881627620222,2.242660550458716,0.9403189777297688,42.849999999999966,3213.749999999998,KeyError:'timestamp',,
2025-07-25,2025-07-31,2025-08-21,THURSDAY,25010.349609375,ERROR,GATE_PASS,True,25000.0,97.0,148.2,298.2,236.4,212.15,0.25,181.35,327.85,75.0,75.0,2.0121457489878543,2.437113402061856,0.8256266398131211,54.80000000000007,4109.999999999999,KeyError:'timestamp',,
2025-08-01,2025-08-07,2025-08-28,THURSDAY,24734.900390625,ERROR,GATE_PASS,True,24750.0,150.0,162.65,340.0,272.05,167.95,0.2,205.95,280.9,75.0,75.0,2.090378112511528,1.8136666666666668,1.152570177822934,37.50000000000006,2812.5000000000027,KeyError:'timestamp',,
2025-08-08,2025-08-14,2025-09-02,THURSDAY,24544.25,ERROR,GATE_PASS,True,24550.0,110.0,175.2,295.75,265.5,0.35,88.15,337.45,169.55,75.0,75.0,1.688070776255708,2.413636363636364,0.6993890221775061,115.04999999999995,8628.749999999996,KeyError:'timestamp',,
2025-08-18,2025-08-21,2025-09-09,THURSDAY,24938.19921875,ERROR,GATE_FAIL,False,24950.0,138.2,102.6,340.35,218.3,0.15,137.1,365.0,127.65,75.0,75.0,3.3172514619883047,1.5795947901591898,2.100064828432357,-57.25,-4293.75,KeyError:'timestamp',,
2025-08-22,2025-08-28,2025-09-16,THURSDAY,25064.150390625,ERROR,GATE_PASS,True,25050.0,90.0,152.2,302.9,233.0,553.4,0.2,80.45,494.45,75.0,75.0,1.9901445466491456,2.588888888888889,0.7687253613666228,131.49999999999994,9862.5,KeyError:'timestamp',,
2025-08-29,2025-09-02,2025-09-23,TUESDAY,24466.69921875,ERROR,GATE_PASS,True,24450.0,81.55,165.0,404.65,202.5,0.25,128.4,372.45,150.6,75.0,75.0,2.452424242424242,2.483139178418148,0.9876306023194912,-24.99999999999997,-1874.9999999999995,KeyError:'timestamp',,
2025-09-03,2025-09-09,2025-09-30,TUESDAY,24616.5,ANALYZED,GATE_FAIL,False,24600.0,140.0,144.95,336.9,249.95,0.15,265.2,458.85,106.45,75.0,75.0,2.3242497412901,1.7853571428571429,1.3018402231670894,5.3500000000000085,401.2500000000037,,NO_TRIGGER,NO_TRIGGER
2025-09-10,2025-09-16,2025-10-07,TUESDAY,24991.0,ERROR,GATE_FAIL,False,25000.0,140.0,112.0,295.15,233.9,0.15,231.65,457.3,95.55,75.0,75.0,2.635267857142857,1.6707142857142858,1.5773300555793073,41.00000000000004,3075.000000000004,KeyError:'timestamp',,
2025-09-17,2025-09-23,2025-10-14,TUESDAY,25276.599609375,ERROR,GATE_FAIL,False,25300.0,112.8,133.0,335.9,214.7,126.05,0.15,246.35,215.55,75.0,75.0,2.525563909774436,1.9033687943262407,1.3268915185028245,55.69999999999999,4177.499999999999,KeyError:'timestamp',,
