entry_date,near_expiry,far_expiry,secondary_strike,secondary_pnl_inr
2022-01-07,2022-01-13,2022-02-03,17800.0,-4977.5
2022-01-14,2022-01-20,2022-02-10,18200.0,-10764.999999999998
2022-01-21,2022-01-27,2022-02-17,17650.0,46660.0
2022-02-04,2022-02-10,2022-03-03,17600.0,-284.9999999999991
2022-02-11,2022-02-17,2022-03-10,17450.0,17542.5
2022-02-18,2022-02-24,2022-03-17,17250.0,62080.0
2022-02-25,2022-03-03,2022-03-24,16550.0,-10279.999999999998
2022-03-11,2022-03-17,2022-04-07,16550.0,-13115.0
2022-03-21,2022-03-24,2022-04-13,17350.0,3005.0
2022-03-25,2022-03-31,2022-04-21,17300.0,2557.500000000002
2022-04-08,2022-04-13,2022-05-05,17700.0,257.4999999999977
2022-04-18,2022-04-21,2022-05-12,17200.0,-2327.500000000001
2022-04-22,2022-04-28,2022-05-19,17250.0,-15765.0
2022-05-06,2022-05-12,2022-06-02,16450.0,13992.5
2022-05-13,2022-05-19,2022-06-09,16000.0,-1474.9999999999982
2022-05-20,2022-05-26,2022-06-16,16050.0,-1160.0
2022-05-27,2022-06-02,2022-06-23,16300.0,-665.0
2022-06-10,2022-06-16,2022-07-07,16300.0,2897.5
2022-06-17,2022-06-23,2022-07-14,15300.0,-4047.500000000002
2022-06-24,2022-06-30,2022-07-21,15650.0,-31597.5
2022-07-08,2022-07-14,2022-08-04,16300.0,-15757.5
2022-07-15,2022-07-21,2022-08-11,16000.0,-2887.499999999998
2022-07-22,2022-07-28,2022-08-18,16650.0,-15557.500000000004
2022-07-29,2022-08-04,2022-08-25,17050.0,-2447.5000000000045
2022-08-05,2022-08-11,2022-09-01,17400.0,-1714.999999999999
2022-08-12,2022-08-18,2022-09-08,17650.0,-87.49999999999818
2022-08-19,2022-08-25,2022-09-15,18000.0,490.0000000000018
2022-08-26,2022-09-01,2022-09-22,17650.0,-860.0
2022-09-09,2022-09-15,2022-10-06,17900.0,1.4779288903810084e-12
2022-09-16,2022-09-22,2022-10-13,17800.0,2265.0000000000023
2022-09-23,2022-09-29,2022-10-20,17600.0,4620.0
2022-10-07,2022-10-13,2022-11-03,17300.0,-402.5
2022-10-14,2022-10-20,2022-11-10,17300.0,1320.0
2022-10-21,2022-10-27,2022-11-17,17600.0,1960.000000000001
2022-11-04,2022-11-10,2023-01-05,18050.0,12975.0
2022-11-11,2022-11-17,2023-01-12,18300.0,-8377.5
2022-11-18,2022-11-24,2023-01-19,18400.0,4507.5
2023-01-06,2023-01-12,2023-02-02,18000.0,1442.5
2023-01-13,2023-01-19,2023-02-09,17850.0,-35.0
2023-02-03,2023-02-09,2023-03-02,17700.0,1525.0
2023-02-10,2023-02-16,2023-03-09,17850.0,4449.999999999999
2023-02-17,2023-02-23,2023-03-16,18000.0,2827.4999999999964
2023-02-24,2023-03-02,2023-03-23,17600.0,-199.9999999999991
2023-03-24,2023-03-29,2023-04-20,17100.0,772.4999999999995
2023-04-10,2023-04-13,2023-05-04,17650.0,-3520.000000000001
2023-04-17,2023-04-20,2023-05-11,17750.0,3612.499999999999
2023-04-21,2023-04-27,2023-05-18,17650.0,11200.0
2023-05-12,2023-05-18,2023-06-08,18250.0,4810.000000000001
2023-05-19,2023-05-25,2023-06-15,18200.0,2110.000000000001
2023-06-09,2023-06-15,2023-07-06,18650.0,980.0000000000008
2023-06-16,2023-06-22,2023-07-13,18700.0,199.99999999999957
2023-08-11,2023-08-17,2023-09-07,19550.0,2560.000000000001
2023-08-25,2023-08-31,2023-09-21,19300.0,5127.5
2023-09-08,2023-09-14,2023-10-05,19750.0,12905.0
2023-09-15,2023-09-21,2023-10-12,20150.0,-1.8189894035458565e-12
2023-09-22,2023-09-28,2023-10-19,19750.0,-522.5000000000009
2023-10-06,2023-10-12,2023-11-02,19600.0,-99.99999999999908
2023-10-13,2023-10-19,2023-11-09,19650.0,247.4999999999993
2023-10-20,2023-10-26,2023-11-16,19550.0,1432.5
2023-10-27,2023-11-02,2023-11-23,18950.0,-970.0000000000028
2023-12-08,2023-12-14,2024-01-04,20950.0,5222.499999999999
2024-01-29,2024-02-01,2024-02-22,21450.0,485.0000000000018
2024-02-09,2024-02-15,2024-03-07,21750.0,-12220.0
2024-02-16,2024-02-22,2024-03-14,22000.0,1084.9999999999982
2024-02-23,2024-02-29,2024-03-21,22300.0,2677.4999999999995
2024-03-15,2024-03-21,2024-04-10,22050.0,16192.5
2024-03-22,2024-03-28,2024-04-18,21950.0,4497.5
2024-04-19,2024-04-25,2024-05-16,21850.0,-27052.5
2024-05-17,2024-05-23,2024-06-13,22400.0,-10990.0
2024-05-24,2024-05-30,2024-06-20,22950.0,11367.5
2024-06-14,2024-06-20,2024-07-11,23450.0,-161.24999999999957
2024-06-21,2024-06-27,2024-07-18,23650.0,736.2499999999991
2024-07-12,2024-07-18,2024-08-08,24400.0,516.2499999999991
2024-07-19,2024-07-25,2024-08-14,24850.0,-6553.75
2024-08-16,2024-08-22,2024-09-12,24350.0,-838.7499999999991
2022-01-28,2022-02-03,2022-02-24,17250.0,-267.5000000000018
2022-09-02,2022-09-08,2022-09-29,17600.0,1105.0000000000018
2023-03-10,2023-03-16,2023-04-06,17450.0,11417.5
2023-08-04,2023-08-10,2023-08-31,19450.0,2147.499999999999
2023-11-17,2023-11-23,2023-12-14,19650.0,4035.000000000001
2024-01-12,2024-01-18,2024-02-08,21750.0,1507.4999999999973
2024-04-05,2024-04-10,2024-05-02,22500.0,-5363.75
2024-06-28,2024-07-04,2024-07-25,24100.0,-671.25
2024-08-30,2024-09-05,2024-09-26,25250.0,874.9999999999994
