entry_date,near_expiry,far_expiry,primary_reason,primary_strike,secondary_strike,secondary_spot_open,secondary_pnl_inr
2022-01-07,2022-01-13,2022-02-03,MISSING_ENTRY_LEG,17800.0,17800.0,17797.599609375,-4977.5
2022-01-14,2022-01-20,2022-02-10,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,16000.0,18200.0,18185.0,-10764.999999999998
2022-01-21,2022-01-27,2022-02-17,NO_COMMON_STRIKE,,17650.0,17613.69921875,46660.0
2022-02-04,2022-02-10,2022-03-03,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,17850.0,17600.0,17590.19921875,-284.9999999999991
2022-02-11,2022-02-17,2022-03-10,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,18000.0,17450.0,17451.0,17542.5
2022-02-18,2022-02-24,2022-03-17,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,17300.0,17250.0,17236.05078125,62080.0
2022-02-25,2022-03-03,2022-03-24,MISSING_ENTRY_LEG,16500.0,16550.0,16515.650390625,-10279.999999999998
2022-03-11,2022-03-17,2022-04-07,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,16300.0,16550.0,16528.80078125,-13115.0
2022-03-21,2022-03-24,2022-04-13,MISSING_ENTRY_LEG,17300.0,17350.0,17329.5,3005.0
2022-03-25,2022-03-31,2022-04-21,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,18500.0,17300.0,17289.0,2557.500000000002
2022-04-08,2022-04-13,2022-05-05,MISSING_ENTRY_LEG,18000.0,17700.0,17698.150390625,257.4999999999977
2022-04-18,2022-04-21,2022-05-12,MISSING_ENTRY_LEG,17200.0,17200.0,17183.44921875,-2327.500000000001
2022-04-22,2022-04-28,2022-05-19,MISSING_ENTRY_LEG,17200.0,17250.0,17242.75,-15765.0
2022-05-06,2022-05-12,2022-06-02,MISSING_ENTRY_LEG,16200.0,16450.0,16415.55078125,13992.5
2022-05-13,2022-05-19,2022-06-09,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,17000.0,16000.0,15977.0,-1474.9999999999982
2022-05-20,2022-05-26,2022-06-16,MISSING_ENTRY_LEG,16300.0,16050.0,16043.7998046875,-1160.0
2022-05-27,2022-06-02,2022-06-23,MISSING_ENTRY_LEG,16500.0,16300.0,16296.599609375,-665.0
2022-06-10,2022-06-16,2022-07-07,MISSING_ENTRY_LEG,16400.0,16300.0,16283.9501953125,2897.5
2022-06-17,2022-06-23,2022-07-14,MISSING_ENTRY_LEG,15600.0,15300.0,15272.650390625,-4047.500000000002
2022-06-24,2022-06-30,2022-07-21,NO_COMMON_STRIKE,,15650.0,15657.400390625,-31597.5
2022-07-08,2022-07-14,2022-08-04,NO_COMMON_STRIKE,,16300.0,16273.650390625,-15757.5
2022-07-15,2022-07-21,2022-08-11,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,15800.0,16000.0,16010.7998046875,-2887.499999999998
2022-07-22,2022-07-28,2022-08-18,MISSING_ENTRY_LEG,16600.0,16650.0,16661.25,-15557.500000000004
2022-07-29,2022-08-04,2022-08-25,MISSING_ENTRY_LEG,17050.0,17050.0,17079.5,-2447.5000000000045
2022-08-05,2022-08-11,2022-09-01,MISSING_ENTRY_LEG,17400.0,17400.0,17423.650390625,-1714.999999999999
2022-08-12,2022-08-18,2022-09-08,MISSING_ENTRY_LEG,18000.0,17650.0,17659.650390625,-87.49999999999818
2022-08-19,2022-08-25,2022-09-15,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,18500.0,18000.0,17966.55078125,490.0000000000018
2022-08-26,2022-09-01,2022-09-22,MISSING_ENTRY_LEG,17000.0,17650.0,17619.30078125,-860.0
2022-09-09,2022-09-15,2022-10-06,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,18500.0,17900.0,17923.349609375,1.4779288903810084e-12
2022-09-16,2022-09-22,2022-10-13,NO_COMMON_STRIKE,,17800.0,17796.80078125,2265.0000000000023
2022-09-23,2022-09-29,2022-10-20,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,18000.0,17600.0,17593.849609375,4620.0
2022-10-07,2022-10-13,2022-11-03,MISSING_ENTRY_LEG,17400.0,17300.0,17287.19921875,-402.5
2022-10-14,2022-10-20,2022-11-10,MISSING_ENTRY_LEG,17500.0,17300.0,17322.30078125,1320.0
2022-10-21,2022-10-27,2022-11-17,MISSING_ENTRY_LEG,17600.0,17600.0,17622.849609375,1960.000000000001
2022-11-04,2022-11-10,2023-01-05,NO_COMMON_STRIKE,,18050.0,18053.400390625,12975.0
