entry_date,near_expiry,far_expiry,strike,lot_near,lot_far,entry_near_pe,exit_near_pe,entry_near_ce,exit_near_ce,entry_far_ce,exit_far_ce,entry_far_pe,exit_far_pe,pnl_inr,comparison_status
2022-01-07,2022-01-13,2022-02-03,17800.0,50,50,151.0,0.15,144.25,454.0,417.3,577.0,329.95,128.6,-4977.5,RECOVERED_BY_SECONDARY_EXACT
2022-01-28,2022-02-03,2022-02-24,17200.0,50,50,251.05,0.1,260.0,381.45,424.75,513.6,383.4,169.3,-3472.500000000002,PRIMARY_VALID_SECONDARY_COMPLETE
2022-02-25,2022-03-03,2022-03-24,16500.0,50,50,200.7,14.65,345.75,8.7,504.4,431.5,421.15,424.05,3759.999999999999,RECOVERED_BY_SECONDARY_EXACT
2022-03-04,2022-03-10,2022-03-31,16350.0,50,50,225.1,0.35,229.3,244.3,465.35,550.85,500.0,282.55,3160.0,PRIMARY_VALID_SECONDARY_COMPLETE
2022-03-21,2022-03-24,2022-04-13,17300.0,50,50,197.0,71.35,240.0,0.7,460.0,380.1,364.0,415.9,-907.4999999999982,RECOVERED_BY_SECONDARY_EXACT
2022-04-01,2022-04-07,2022-04-28,17450.0,50,50,170.6,0.1,188.85,193.4,376.05,473.6,351.0,194.65,3942.500000000001,PRIMARY_VALID_SECONDARY_COMPLETE
2022-04-18,2022-04-21,2022-05-12,17200.0,50,50,101.25,0.15,150.0,191.0,425.0,415.2,289.0,183.65,-2327.500000000001,RECOVERED_BY_SECONDARY_EXACT
2022-04-29,2022-05-05,2022-05-26,17350.0,50,50,172.15,665.3,130.0,0.1,331.35,70.3,359.45,725.6,-207.5,PRIMARY_VALID_SECONDARY_COMPLETE
2022-06-03,2022-06-09,2022-06-30,16750.0,50,50,162.3,280.15,160.0,0.1,340.6,152.1,311.95,421.75,-1027.5000000000043,PRIMARY_VALID_SECONDARY_COMPLETE
2022-07-01,2022-07-07,2022-07-28,15700.0,50,50,169.9,0.1,148.0,432.05,370.05,575.4,389.35,130.35,524.9999999999982,PRIMARY_VALID_SECONDARY_COMPLETE
