entry_date,near_expiry,far_expiry,spot_open,strike,entry_near_pe,entry_near_ce,entry_far_ce,entry_far_pe,exit_near_pe,exit_near_ce,exit_far_ce,exit_far_pe,lot_near_pe,lot_near_ce,lot_far_ce,lot_far_pe,pnl_points,pnl_inr,cum_pnl_inr,year
2022-01-28,2022-02-03,2022-02-24,17237.4,17250,279.9,216.95,300.05,378.4,0.05,309.65,458.35,203.7,50,50,50,50,-39.54999999999996,-1977.4999999999964,-1977.4999999999964,2022
2022-03-04,2022-03-10,2022-03-31,16362.1,16350,225.1,229.3,465.35,500.0,0.05,245.05,522.3,288.65,50,50,50,50,27.49999999999997,1374.9999999999982,-602.4999999999982,2022
2022-04-01,2022-04-07,2022-04-28,17437.8,17450,170.6,188.85,376.05,351.0,0.05,190.05,473.9,193.65,50,50,50,50,83.44999999999996,4172.499999999998,3570.0,2022
2022-04-29,2022-05-05,2022-05-26,17331.7,17350,172.15,130.0,331.35,359.45,669.25,0.05,68.5,735.95,50,50,50,50,-12.300000000000123,-615.0000000000036,2954.9999999999964,2022
2022-06-03,2022-06-09,2022-06-30,16763.8,16750,162.3,160.0,340.6,311.95,271.75,0.1,140.0,422.75,50,50,50,50,-42.05000000000001,-2102.5000000000027,852.4999999999936,2022
2022-07-01,2022-07-07,2022-07-28,15708.3,15700,169.9,148.0,370.05,389.35,0.05,433.55,578.8,125.0,50,50,50,50,17.69999999999999,884.9999999999982,1737.4999999999918,2022
2022-09-02,2022-09-08,2022-09-29,17605.1,17600,165.95,176.1,342.15,330.85,0.05,198.15,417.0,187.5,50,50,50,50,30.250000000000057,1512.5000000000036,3249.9999999999955,2022
2022-09-30,2022-10-06,2022-10-27,16808.7,16800,193.0,185.75,360.05,376.05,0.05,533.15,641.35,129.95,50,50,50,50,-12.949999999999877,-647.4999999999982,2602.4999999999973,2022
2022-10-28,2022-11-03,2022-11-24,17760.4,17750,138.05,142.0,315.0,288.8,0.05,302.1,500.15,127.0,50,50,50,50,48.849999999999966,2442.499999999999,5044.999999999996,2022
2023-01-02,2023-01-05,2023-01-25,18133.65,18150,104.05,103.0,298.65,244.3,157.45,0.05,179.85,258.15,50,50,50,50,23.700000000000045,1185.0000000000027,6229.999999999999,2023
2023-01-20,2023-01-25,2023-02-16,18116.2,18100,102.0,113.0,333.8,233.0,207.5,0.2,195.4,313.85,50,50,50,50,-0.950000000000017,-47.50000000000091,6182.499999999998,2023
2023-01-27,2023-02-02,2023-02-23,17884.75,17900,148.0,164.5,335.0,250.55,289.5,0.05,147.2,378.0,50,50,50,50,-9.300000000000011,-464.9999999999991,5717.499999999999,2023
2023-03-03,2023-03-09,2023-03-29,17434.3,17450,89.05,84.9,218.95,193.35,0.05,139.3,305.65,119.25,50,50,50,50,17.399999999999977,869.9999999999986,6587.499999999998,2023
